Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,France,France,FR,40.65,61.02,91.19,15.03,opendata.reseaux-energies.fr,false,
2021-01-01 01:00:00,France,France,FR,40.59,61.0,91.41,15.71,opendata.reseaux-energies.fr,false,
2021-01-01 02:00:00,France,France,FR,32.13,51.11,92.56,14.64,opendata.reseaux-energies.fr,false,
2021-01-01 03:00:00,France,France,FR,27.84,46.02,93.17,14.47,opendata.reseaux-energies.fr,false,
2021-01-01 04:00:00,France,France,FR,28.63,46.77,93.18,13.96,opendata.reseaux-energies.fr,false,
2021-01-01 05:00:00,France,France,FR,32.18,51.08,92.62,14.18,opendata.reseaux-energies.fr,false,
2021-01-01 06:00:00,France,France,FR,31.45,50.08,92.94,15.63,opendata.reseaux-energies.fr,false,
2021-01-01 07:00:00,France,France,FR,31.07,49.46,93.04,15.31,opendata.reseaux-energies.fr,false,
2021-01-01 08:00:00,France,France,FR,30.18,48.44,93.17,15.0,opendata.reseaux-energies.fr,false,
2021-01-01 09:00:00,France,France,FR,31.5,50.28,92.94,15.96,opendata.reseaux-energies.fr,false,
2021-01-01 10:00:00,France,France,FR,31.2,50.25,92.96,17.0,opendata.reseaux-energies.fr,false,
2021-01-01 11:00:00,France,France,FR,33.45,53.07,92.7,17.89,opendata.reseaux-energies.fr,false,
2021-01-01 12:00:00,France,France,FR,30.11,49.02,93.15,17.87,opendata.reseaux-energies.fr,false,
2021-01-01 13:00:00,France,France,FR,25.34,43.29,93.75,17.45,opendata.reseaux-energies.fr,false,
2021-01-01 14:00:00,France,France,FR,26.97,45.29,93.29,16.66,opendata.reseaux-energies.fr,false,
2021-01-01 15:00:00,France,France,FR,30.66,49.76,92.33,15.44,opendata.reseaux-energies.fr,false,
2021-01-01 16:00:00,France,France,FR,34.42,54.33,91.41,15.19,opendata.reseaux-energies.fr,false,
2021-01-01 17:00:00,France,France,FR,35.14,54.67,91.48,18.63,opendata.reseaux-energies.fr,false,
2021-01-01 18:00:00,France,France,FR,41.69,62.42,90.57,19.27,opendata.reseaux-energies.fr,false,
2021-01-01 19:00:00,France,France,FR,40.63,61.53,90.46,17.95,opendata.reseaux-energies.fr,false,
2021-01-01 20:00:00,France,France,FR,42.16,63.55,90.15,15.19,opendata.reseaux-energies.fr,false,
2021-01-01 21:00:00,France,France,FR,44.3,66.07,90.04,14.22,opendata.reseaux-energies.fr,false,
2021-01-01 22:00:00,France,France,FR,48.56,71.03,89.4,14.52,opendata.reseaux-energies.fr,false,
2021-01-01 23:00:00,France,France,FR,40.9,61.37,90.94,14.25,opendata.reseaux-energies.fr,false,
2021-01-02 00:00:00,France,France,FR,37.92,57.71,91.9,13.9,opendata.reseaux-energies.fr,false,
2021-01-02 01:00:00,France,France,FR,35.22,54.78,92.02,13.97,opendata.reseaux-energies.fr,false,
2021-01-02 02:00:00,France,France,FR,32.44,51.25,92.58,13.72,opendata.reseaux-energies.fr,false,
2021-01-02 03:00:00,France,France,FR,28.24,46.2,93.26,14.18,opendata.reseaux-energies.fr,false,
2021-01-02 04:00:00,France,France,FR,31.67,50.35,92.64,14.45,opendata.reseaux-energies.fr,false,
2021-01-02 05:00:00,France,France,FR,33.96,52.89,92.45,14.61,opendata.reseaux-energies.fr,false,
2021-01-02 06:00:00,France,France,FR,39.71,59.97,91.33,14.53,opendata.reseaux-energies.fr,false,
2021-01-02 07:00:00,France,France,FR,42.74,64.09,90.37,14.66,opendata.reseaux-energies.fr,false,
2021-01-02 08:00:00,France,France,FR,48.12,70.56,89.33,16.17,opendata.reseaux-energies.fr,false,
2021-01-02 09:00:00,France,France,FR,49.28,72.04,89.05,17.87,opendata.reseaux-energies.fr,false,
2021-01-02 10:00:00,France,France,FR,47.49,70.15,89.27,19.33,opendata.reseaux-energies.fr,false,
2021-01-02 11:00:00,France,France,FR,48.93,72.05,88.97,20.46,opendata.reseaux-energies.fr,false,
2021-01-02 12:00:00,France,France,FR,45.06,67.51,89.44,20.94,opendata.reseaux-energies.fr,false,
2021-01-02 13:00:00,France,France,FR,42.25,64.21,89.8,19.52,opendata.reseaux-energies.fr,false,
2021-01-02 14:00:00,France,France,FR,39.73,61.29,90.03,18.62,opendata.reseaux-energies.fr,false,
2021-01-02 15:00:00,France,France,FR,40.88,62.38,89.8,17.98,opendata.reseaux-energies.fr,false,
2021-01-02 16:00:00,France,France,FR,43.23,64.69,89.68,18.58,opendata.reseaux-energies.fr,false,
